Wavelength(nm),Baseline,Boro125,Boro25,Boro5,Malico125,Malico25,Malico5,Tarta125,Tarta25,Tarta5
235.5,0.123074781,1.044761296,1.196057369,0.282030927,1.029530895,1.251327977,1.335389368,1.737743759,1.552637918,2.476361296
236,0.122967367,1.042443418,1.193611355,0.280856464,1.023547979,1.243184536,1.315386713,1.731838363,1.551210055,2.482097244
236.5,0.122895702,1.040296284,1.192357527,0.279833723,1.017804808,1.236177719,1.295451393,1.727004365,1.548340243,2.47279788
237,0.122903048,1.037583124,1.190321547,0.278741156,1.013006945,1.229661619,1.276723832,1.723460466,1.546674051,2.472699858
237.5,0.122964738,1.035560829,1.188675223,0.277837752,1.008247289,1.223919236,1.257671471,1.719614896,1.54598942,2.479614769
238,0.122987818,1.033754788,1.186812642,0.277037006,1.003685102,1.218337428,1.238822629,1.716394505,1.545380977,2.478548784
238.5,0.12298495,1.032087065,1.184778446,0.27628872,0.999371513,1.213185691,1.220659946,1.713763706,1.54445568,2.473512021
239,0.12304702,1.030761405,1.183097242,0.275580279,0.995299795,1.209293903,1.203539234,1.71086337,1.543262926,2.480923491
239.5,0.123155534,1.029269241,1.181509003,0.275008733,0.992149034,1.205315005,1.18702255,1.706124972,1.54189004,2.469868411
240,0.123197325,1.027975897,1.180335881,0.274519533,0.988934625,1.201567823,1.17151287,1.702562011,1.540299891,2.474300737
240.5,0.123238076,1.026934001,1.179014631,0.274108476,0.985645446,1.198592084,1.156442575,1.700074199,1.539498303,2.482410106
241,0.123271018,1.025975088,1.177456134,0.273734538,0.982428079,1.196000685,1.141698925,1.69744015,1.539132585,2.486817862
241.5,0.123301615,1.024904378,1.175914533,0.273333579,0.979441251,1.193270846,1.127391426,1.694006814,1.538460451,2.484675475
242,0.123497659,1.02385304,1.175027839,0.272838217,0.976624415,1.191113722,1.113794092,1.693167548,1.537789714,2.482074786
242.5,0.123566057,1.023161511,1.174069893,0.272562743,0.974077535,1.189285473,1.101567907,1.689339879,1.536911609,2.489398483
243,0.123645703,1.022374618,1.172874605,0.272354505,0.971347418,1.188032679,1.088913807,1.687468541,1.536060316,2.497475469
243.5,0.123737527,1.021760802,1.171487477,0.272099522,0.9687916,1.18674063,1.077144938,1.686268683,1.534922529,2.499798332
244,0.123839928,1.021201373,1.170029594,0.27181468,0.966560549,1.185461272,1.066555567,1.683947258,1.53399609,2.500068089
244.5,0.123943378,1.020343729,1.168683743,0.271623752,0.964534128,1.18473221,1.056407529,1.67961411,1.534211991,2.507169718
245,0.123918428,1.019962331,1.167825539,0.271619912,0.962449438,1.1838699,1.046782277,1.678284816,1.534432024,2.504225547
245.5,0.124042385,1.019377566,1.166503724,0.271511799,0.960148046,1.183338212,1.037734212,1.676392997,1.533045967,2.510772126
246,0.12413439,1.018865309,1.16550571,0.271369612,0.95819512,1.183344529,1.029286439,1.675711809,1.532389599,2.511073974
246.5,0.124212984,1.018387665,1.16439645,0.271222654,0.956334356,1.18323658,1.021397303,1.674166605,1.531498977,2.512920062
247,0.124314375,1.017855468,1.163040023,0.271094013,0.954413964,1.18272853,1.013992935,1.671125528,1.530132616,2.521229109
247.5,0.124436194,1.017228446,1.162073464,0.271004062,0.952674462,1.182352844,1.007016549,1.669099794,1.530001555,2.529683955
248,0.124478394,1.017202,1.161368714,0.270911622,0.950855572,1.182826568,1.000979157,1.667099023,1.530914943,2.538301593
248.5,0.124613668,1.016743275,1.160120059,0.270690363,0.948828858,1.183270627,0.995059132,1.664752193,1.52931603,2.536530183
249,0.124747754,1.016474675,1.158820978,0.270589516,0.947043818,1.183837159,0.989498138,1.663482565,1.529171343,2.540303388
249.5,0.124829673,1.016125403,1.157768105,0.270598528,0.945458074,1.18421556,0.984433188,1.662392664,1.529059073,2.549411214
250,0.124858727,1.015431085,1.156959508,0.270620391,0.943852752,1.184197257,0.979856695,1.660270686,1.526963965,2.558833998
250.5,0.124962783,1.015495165,1.155519736,0.270592954,0.942000946,1.184632578,0.975381289,1.657823741,1.52632467,2.568497846
251,0.125008925,1.015544286,1.154497224,0.270700581,0.940397656,1.185682037,0.971622358,1.655221303,1.525549635,2.565800512
251.5,0.125086565,1.015369314,1.153456733,0.270722698,0.938929323,1.186371459,0.968052769,1.653737826,1.524812474,2.57074925
252,0.12516582,1.015022346,1.152258062,0.270710251,0.937469947,1.186901375,0.964582892,1.65224642,1.52479803,2.580985598
252.5,0.125235947,1.014633164,1.151039108,0.270703915,0.935861308,1.18754675,0.9613345,1.649818979,1.52522584,2.589185794
253,0.125398815,1.014410924,1.150587179,0.2705808,0.933852463,1.188223437,0.958856438,1.647216473,1.522862397,2.584801546
253.5,0.125528098,1.014438489,1.148972928,0.270617525,0.932162366,1.189651256,0.956123051,1.644552718,1.522020983,2.594906762
254,0.125607166,1.014330798,1.147790272,0.27071741,0.930698093,1.1905251,0.953993508,1.643169301,1.521293661,2.606583891
254.5,0.125683951,1.01423996,1.147019407,0.270740001,0.929307607,1.191469519,0.951755248,1.642273288,1.52041478,2.611055042
255,0.125765634,1.014180618,1.146234275,0.270696618,0.927744014,1.192691926,0.949265466,1.640879814,1.519406092,2.609935656
255.5,0.125774521,1.01382965,1.144562239,0.270875309,0.925595891,1.193332218,0.947665491,1.63802181,1.518608245,2.622452809
256,0.125897448,1.013747091,1.14312516,0.271021583,0.923945166,1.194887449,0.946249323,1.635090002,1.516040751,2.618259866
256.5,0.126057983,1.013641461,1.141733095,0.270962967,0.922253385,1.19581516,0.9447376,1.633418712,1.514668327,2.626395911
257,0.126164566,1.013638387,1.140195225,0.270942198,0.920445045,1.196850028,0.943328773,1.630445766,1.513727914,2.639944984
257.5,0.126211795,1.013730442,1.138685103,0.271040802,0.918475782,1.198031815,0.942075566,1.626428023,1.512692089,2.654239526
258,0.126293366,1.013742099,1.137776937,0.271132896,0.916320208,1.198509773,0.940842019,1.624964355,1.511501467,2.66891336
258.5,0.126445358,1.013813219,1.136708102,0.271109331,0.914342353,1.199038479,0.939863019,1.621522561,1.510280687,2.643655513
259,0.126539455,1.013770504,1.135359599,0.271251215,0.912619722,1.200285802,0.939028951,1.616834556,1.507601171,2.649039659
